fare_amount,key
9.67648531874,2015-01-27 13:08:24.0000002
8.85165628319,2015-01-27 13:08:24.0000003
4.26683870798,2011-10-08 11:53:44.0000002
7.66368580851,2012-12-01 21:12:12.0000002
14.9043719171,2012-12-01 21:12:12.0000003
9.33430276887,2012-12-01 21:12:12.0000005
5.58820212058,2011-10-06 12:10:20.0000001
53.3844098751,2011-10-06 12:10:20.0000003
11.4243994157,2011-10-06 12:10:20.0000002
5.84413667753,2014-02-18 15:22:20.0000002
7.55898034868,2014-02-18 15:22:20.0000003
12.3777372229,2014-02-18 15:22:20.0000001
4.72213790696,2010-03-29 20:20:32.0000002
7.94060601352,2010-03-29 20:20:32.0000001
9.57304102361,2011-10-06 03:59:12.0000002
13.7731426992,2011-10-06 03:59:12.0000001
4.19224236761,2012-07-15 16:45:04.0000006
9.55137227011,2012-07-15 16:45:04.0000002
5.47667270663,2012-07-15 16:45:04.0000003
4.97098841067,2012-07-15 16:45:04.0000004
7.61739583333,2014-10-29 02:09:56.0000001
7.67395913153,2014-06-14 13:39:00.00000010
6.34819602034,2014-06-14 13:39:00.00000060
8.17790445332,2014-06-14 13:39:00.00000087
15.215097729,2014-06-14 13:39:00.00000050
5.76156903907,2014-06-14 13:39:00.0000003
33.64,2014-06-14 13:39:00.000000158
22.4127574816,2014-06-14 13:39:00.00000015
6.55360714286,2014-06-14 13:39:00.00000073
13.2273640057,2014-06-14 13:39:00.00000077
10.0121718783,2014-06-14 13:39:00.000000145
5.72531360959,2014-06-14 13:39:00.00000079
5.5367470337,2014-06-14 13:39:00.000000121
10.7420057393,2014-06-14 13:39:00.00000021
8.67461710664,2014-06-14 13:39:00.0000005
6.92298040248,2014-06-14 13:39:00.000000165
6.45082665126,2014-06-14 13:39:00.000000184
5.17962013194,2014-06-14 13:39:00.00000059
8.99306776557,2014-06-14 13:39:00.00000070
5.65003651687,2014-06-14 13:39:00.00000068
17.5645346482,2014-06-14 13:39:00.000000133
8.76731046539,2014-06-14 13:39:00.000000128
16.974884559,2014-06-14 13:39:00.000000136
9.32226757891,2014-06-14 13:39:00.00000017
4.93168671091,2014-06-14 13:39:00.000000111
10.3031574792,2014-06-14 13:39:00.000000115
5.25533986182,2014-06-14 13:39:00.000000168
6.25669500675,2014-06-14 13:39:00.00000031
5.74535912006,2014-06-14 13:39:00.000000116
4.56936884815,2014-06-14 13:39:00.00000051
11.0188793103,2014-06-14 13:39:00.000000193
11.8717672932,2014-06-14 13:39:00.000000132
19.684629329,2014-06-14 13:39:00.000000167
5.03871974177,2014-06-14 13:39:00.00000044
6.49600695327,2014-06-14 13:39:00.000000138
13.2315379799,2014-06-14 13:39:00.00000066
9.05619743302,2014-06-14 13:39:00.00000063
11.4050590922,2014-06-14 13:39:00.000000154
12.0869439075,2014-06-14 13:39:00.00000097
10.9053711531,2014-06-14 13:39:00.00000067
6.90207829156,2014-06-14 13:39:00.000000179
9.95805396088,2014-06-14 13:39:00.00000092
4.57623993204,2014-06-14 13:39:00.00000029
4.99832925269,2014-06-14 13:39:00.000000177
6.06780576416,2014-06-14 13:39:00.000000192
6.75530008755,2014-06-14 13:39:00.000000181
9.1649378274,2014-06-14 13:39:00.000000120
4.42700934613,2014-06-14 13:39:00.0000008
4.37454506396,2014-06-14 13:39:00.000000103
12.9408622994,2014-06-14 13:39:00.00000049
6.48860105258,2014-06-14 13:39:00.000000108
4.79990969887,2014-06-14 13:39:00.00000072
10.0175646861,2014-06-14 13:39:00.000000182
5.48833837104,2014-06-14 13:39:00.00000061
9.38718865675,2014-06-14 13:39:00.00000093
13.0571128759,2014-06-14 13:39:00.000000170
43.0027777778,2014-06-14 13:39:00.000000147
4.17527536138,2014-06-14 13:39:00.000000140
4.50687061916,2014-06-14 13:39:00.000000159
4.45506098233,2014-06-14 13:39:00.00000012
5.9690799808,2014-06-14 13:39:00.00000025
5.75128164528,2014-06-14 13:39:00.000000156
6.46779593598,2014-06-14 13:39:00.000000152
9.75094122918,2014-06-14 13:39:00.000000129
15.4329066177,2014-06-14 13:39:00.000000119
4.94419242474,2014-06-14 13:39:00.000000118
4.2710870783,2014-06-14 13:39:00.00000076
6.39715898767,2014-06-14 13:39:00.000000135
16.9928195938,2014-06-14 13:39:00.00000023
8.43481045753,2014-06-14 13:39:00.00000082
9.12322602098,2014-06-14 13:39:00.000000125
7.84723243742,2014-06-14 13:39:00.00000075
5.93651495252,2014-06-14 13:39:00.000000124
6.87535325178,2014-06-14 13:39:00.000000172
12.9302068071,2014-06-14 13:39:00.00000024
13.2326568272,2014-06-14 13:39:00.000000169
8.66579441089,2014-06-14 13:39:00.00000052
13.0534148081,2014-06-14 13:39:00.000000161
7.4269194764,2014-06-14 13:39:00.00000038
9.50857170032,2014-06-14 13:39:00.00000035
11.8312867694,2014-06-14 13:39:00.00000053
6.56868829994,2014-06-14 13:39:00.000000183
52.6667322568,2014-06-14 13:39:00.000000131
6.98274415717,2014-06-14 13:39:00.000000180
33.6725,2014-06-14 13:39:00.000000130
4.29363342572,2014-06-14 13:39:00.00000032
10.608124293,2014-06-14 13:39:00.000000148
8.75494225901,2014-06-14 13:39:00.0000007
10.3182002819,2014-06-14 13:39:00.00000095
41.6477666667,2014-06-14 13:39:00.000000144
23.0865,2014-06-14 13:39:00.000000141
17.691939088,2014-06-14 13:39:00.000000162
9.38758544568,2014-06-14 13:39:00.00000018
10.2028269715,2014-06-14 13:39:00.00000054
6.39650215076,2014-06-14 13:39:00.00000040
6.80787290848,2014-06-14 13:39:00.00000096
21.4983152493,2014-06-14 13:39:00.00000055
8.23262325652,2014-06-14 13:39:00.000000109
6.50155188494,2014-06-14 13:39:00.000000151
9.0004917233,2014-06-14 13:39:00.00000016
11.9507892239,2014-06-14 13:39:00.00000062
9.28788444703,2014-06-14 13:39:00.000000191
8.04389957265,2014-06-14 13:39:00.00000034
6.92333186824,2014-06-14 13:39:00.000000160
5.64413196235,2014-06-14 13:39:00.00000013
4.58440145906,2014-06-14 13:39:00.000000188
8.32710380033,2014-06-14 13:39:00.00000086
9.13428308854,2014-06-14 13:39:00.000000185
8.31521848877,2014-06-14 13:39:00.00000074
17.6118689087,2014-06-14 13:39:00.00000022
5.20411787849,2014-06-14 13:39:00.00000036
4.6090804889,2014-06-14 13:39:00.000000126
5.88054944057,2014-06-14 13:39:00.000000190
6.17136150676,2014-06-14 13:39:00.00000042
7.05460491899,2014-06-14 13:39:00.000000178
4.61129494203,2014-06-14 13:39:00.000000163
10.5412460174,2014-06-14 13:39:00.00000020
6.36367120376,2014-06-14 13:39:00.00000098
20.3954442678,2014-06-14 13:39:00.000000114
8.22177119694,2014-06-14 13:39:00.00000045
4.71835213779,2014-06-14 13:39:00.00000094
8.57089500947,2014-06-14 13:39:00.000000146
7.6778155877,2014-06-14 13:39:00.00000033
4.76341976102,2014-06-14 13:39:00.000000143
5.82177899508,2014-06-14 13:39:00.000000107
7.70128786722,2014-06-14 13:39:00.00000048
12.1715003664,2014-06-14 13:39:00.00000043
7.33658516309,2014-06-14 13:39:00.000000123
7.34323320556,2014-06-14 13:39:00.000000134
5.8737397645,2014-06-14 13:39:00.000000142
9.29908159876,2014-06-14 13:39:00.000000122
9.01856599588,2014-06-14 13:39:00.000000176
6.60865505024,2011-12-12 09:42:12.0000004
4.36276972538,2011-12-12 09:42:12.0000002
10.9943882283,2011-12-12 09:42:12.0000001
6.67353625731,2011-12-12 09:42:12.0000003
7.47941200742,2011-12-12 09:42:12.0000005
16.7517545788,2013-06-27 00:20:40.0000001
